PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Mag_X,Mag_Y,Mag_Z,Status
122,233289264,0.999954257679452,0.001369,-0.008972,0.003018,0.030114,0.084528,0.133479,0.075928,-0.519531,-0.783203,0
123,233305931,0.999955709173609,0.001121,-0.008761,0.003250,0.042380,0.089045,0.134287,0.057861,-0.521973,-0.787598,0
124,233322598,0.999960277341295,0.000145,-0.008278,0.003302,0.051133,0.091212,0.139201,0.042236,-0.523438,-0.788818,0
125,233339265,0.999951817507538,-0.000492,-0.009327,0.003022,0.035833,0.098999,0.145891,0.023926,-0.526855,-0.794678,0
126,233355932,0.999937793975472,-0.002161,-0.010612,0.002669,0.036559,0.093985,0.134951,0.002686,-0.520996,-0.797607,0
127,233372599,0.999939300363532,-0.001798,-0.010607,0.002376,0.045612,0.088876,0.137391,-0.019775,-0.520020,-0.803223,0
128,233389266,0.999934970261736,-0.002057,-0.010997,0.002212,0.056587,0.090345,0.144993,-0.040527,-0.519287,-0.804688,0
129,233405933,0.999936639952927,-0.002128,-0.010769,0.002495,0.071444,0.083371,0.144011,-0.062500,-0.516357,-0.811279,0
130,233422600,0.999950956412501,-0.001552,-0.009399,0.002707,0.081115,0.088642,0.146539,-0.083252,-0.509521,-0.814697,0
131,233439267,0.999965985436411,-0.001603,-0.007687,0.002523,0.083302,0.096078,0.160888,-0.096436,-0.509277,-0.814209,0
132,233455934,0.999968709762714,-0.001881,-0.007442,0.001912,0.083544,0.099519,0.174049,-0.109375,-0.508301,-0.815674,0
133,233472601,0.999966951409042,-0.002916,-0.007508,0.001109,0.084575,0.102396,0.172897,-0.129395,-0.498779,-0.815186,0
134,233489268,0.999965441997074,-0.003917,-0.007330,0.000200,0.081887,0.102475,0.156498,-0.141357,-0.493896,-0.819824,0
135,233505935,0.999970945680030,-0.004851,-0.005848,-0.000621,0.080236,0.099059,0.139466,-0.155029,-0.482910,-0.823242,0
136,233522602,0.999979665259489,-0.004988,-0.003888,-0.000818,0.080717,0.091598,0.132263,-0.161133,-0.476074,-0.826172,0
137,233539269,0.999986155347489,-0.004684,-0.002361,-0.000423,0.084567,0.078798,0.131928,-0.167480,-0.466797,-0.827637,0
138,233555936,0.999985277982373,-0.004882,-0.002360,-0.000206,0.079258,0.070766,0.134623,-0.171875,-0.458252,-0.829834,0
139,233572603,0.999978117932193,-0.005850,-0.003089,-0.000071,0.079607,0.064343,0.122652,-0.177979,-0.446533,-0.831787,0
140,233589270,0.999976837587092,-0.005930,-0.003337,0.000142,0.078943,0.058945,0.117258,-0.186768,-0.435547,-0.836670,0
141,233605937,0.999975642131773,-0.005906,-0.003704,0.000325,0.078229,0.059110,0.112008,-0.192871,-0.422607,-0.840820,0
142,233622604,0.999973709004519,-0.006169,-0.003768,0.000566,0.079262,0.058838,0.113263,-0.202148,-0.412842,-0.844727,0
143,233639271,0.999974471361711,-0.005896,-0.003964,0.000761,0.079295,0.055420,0.115533,-0.209717,-0.402344,-0.844238,0
144,233655938,0.999973000856598,-0.005695,-0.004552,0.000916,0.078522,0.056961,0.116659,-0.219971,-0.388916,-0.844482,0
145,233672605,0.999973605136106,-0.004941,-0.005243,0.000943,0.080006,0.058059,0.122765,-0.227295,-0.378174,-0.845947,0
146,233689272,0.999967810171066,-0.005455,-0.005797,0.001013,0.083497,0.061364,0.123927,-0.240723,-0.369629,-0.847900,0
147,233705939,0.999963508612598,-0.006573,-0.005314,0.001238,0.093771,0.062270,0.131656,-0.250488,-0.354736,-0.846436,0
148,233722606,0.999962148954077,-0.007246,-0.004541,0.001605,0.104989,0.057175,0.138695,-0.263428,-0.342285,-0.848877,0
149,233739273,0.999961120552781,-0.007527,-0.004148,0.001974,0.107689,0.055463,0.138288,-0.271484,-0.329102,-0.851074,0
